time,iteration,total_steps,reward_mean,reward_std,reward_max,reward_min,alpha,sub_dims,pop_size
1.6689300537109375e-06,0,0,134.06389845659191,17.215501529013274,172.14190536408867,111.22404160533362,1.0,1,20
3.0299994945526123,1,1747,213.77975924351395,2.8261333929212418,218.05171486408844,206.67120313681164,1.0,1,20
7.131006479263306,2,3568,179.9081471052753,3.2605993727171736,185.46218788100535,174.65913914514286,1.0,1,20
12.244218349456787,3,5546,179.9989165114476,3.228935014811528,186.19251444950652,175.44068949787135,1.0,1,20
18.45351767539978,4,7806,153.2555207375163,1.6938911407523172,156.44270052359792,150.5492393213856,1.0,1,20
25.782549619674683,5,10492,171.4636076913488,4.791559539944601,179.5879832181328,163.26519867668367,1.0,1,20
34.261714220047,6,13439,177.05190539261923,2.9182283185009394,181.42490112426566,172.9166611313179,1.0,1,20
44.09336590766907,7,17343,205.80521450475948,9.449284299291511,223.18973063487852,195.8937383024237,1.0,1,20
55.164790630340576,8,20254,242.66841326401874,8.077500754785579,254.24779976337035,226.7405061144056,1.0,1,20
67.61143851280212,9,24358,294.3493845460128,20.30690637807091,336.0377470823309,264.5884817152728,1.0,1,20
81.41117334365845,10,27773,323.7900266778225,14.963465213480173,352.9416401194349,306.7938543785914,1.0,1,20
96.55907034873962,11,30822,279.4732618332971,7.3615938389515785,293.3752067469941,265.7248655098293,1.0,1,20
113.36029195785522,12,35075,275.83860413460684,5.097373628686888,282.2674121261082,267.39424576919254,1.0,1,20
131.51135540008545,13,38710,221.4020799492674,4.284902448074961,227.94248639206083,213.89329473348693,1.0,1,20
151.18945145606995,14,43429,260.0600058327248,7.042346654851146,268.797069156981,246.87232531617877,1.0,1,20
172.3751995563507,15,47790,364.6996944545489,15.670665867311456,395.1071116383669,345.7971599567309,1.0,1,20
195.32855868339539,16,54088,838.7736391405882,126.91458090613239,1022.6306356745894,672.3349585814664,1.0,1,20
220.7327446937561,17,60969,440.09227908111905,21.508779736207295,471.3145708997999,410.63992859949906,1.0,1,20
248.23329734802246,18,68484,417.174198204824,14.95252787613479,436.76097169079253,383.35656582512786,1.0,1,20
278.13129353523254,19,76417,523.5829166237921,18.56494952571178,542.6963713140339,487.2614022425371,1.0,1,20
310.189129114151,20,83676,892.3953195178901,64.84998142735961,1017.879898579235,798.604739884414,1.0,1,20
344.76855206489563,21,90384,543.3654148234257,22.788426648779836,586.0179593707986,514.4719049996472,1.0,1,20
381.72282004356384,22,98622,494.0990945051117,10.016767732381714,516.2571877493285,480.8318317026485,1.0,1,20
421.0718185901642,23,107729,530.7806657119465,8.876274816620091,544.0785501456352,514.9224620259246,1.0,1,20
462.75806164741516,24,116331,718.1499972939914,24.261975255113036,764.5547512361458,686.0418871818157,1.0,1,20
507.09032678604126,25,124732,1008.5926203409147,2.4437893549528438,1011.2234601394493,1005.2023286408769,1.0,1,20
554.6142280101776,26,134505,974.6103851310597,5.041274204228632,981.1273915567097,962.7516263377069,1.0,1,20
605.5616421699524,27,148055,931.9274843703322,25.841042525275,971.2303938351935,893.8469658230988,1.0,1,20
659.7656157016754,28,160027,980.6117300719967,1.5940291217086615,983.4110187780758,977.9635402788293,1.0,1,20
717.4880862236023,29,172375,998.3086602235262,1.6107376901035482,1001.3349198823514,996.2992479642044,1.0,1,20
778.6156148910522,30,185908,1014.9450119859766,1.2283205908242913,1017.4859204484623,1013.4623632127416,1.0,1,20
843.1631989479065,31,199331,1024.6766447471796,1.0031596415878559,1026.216178530394,1022.8291756212219,1.0,1,20
911.0707557201385,32,212314,1016.9620448154312,0.6300392622677907,1017.8648884112589,1016.0555654693812,1.0,1,20
982.5559666156769,33,226337,1009.9853699476391,0.7247818949020173,1010.9024403984183,1008.5163783701912,1.0,1,20
1057.9759058952332,34,242905,1000.6997401439523,0.6619810209501866,1001.7498671199394,999.7660848210214,1.0,1,20
