time,iteration,total_steps,reward_mean,reward_std,reward_max,reward_min,alpha,sub_dims,pop_size
2.384185791015625e-06,0,0,133.09624768199964,27.581671053680836,184.90015834748635,96.18244864790071,1.0,1,80
5.199738502502441,1,2457,117.25125601976694,2.997467656857956,123.17230559672267,113.40386685456089,1.0,1,80
14.340903043746948,2,5118,100.74467116667029,1.7001216869073599,104.28527751077347,98.6598561627855,1.0,1,80
27.45132875442505,3,7910,94.48583861838404,1.4247291383762273,97.22049362090127,92.89823336238081,1.0,1,80
44.21086072921753,4,11605,89.92125413526949,1.2589387004959827,93.00393831339932,88.54939512648843,1.0,1,80
64.68182468414307,5,15696,88.18304360604368,1.625227702749575,90.49946317651909,85.54840209228698,1.0,1,80
89.20676040649414,6,20997,87.35148055276623,1.505450582743499,91.28997650395065,85.75975995516708,1.0,1,80
118.75771760940552,7,26511,88.22307299001176,1.3871010755830644,89.88716880377608,86.08290477395225,0.0,1,80
150.3412320613861,8,28555,88.12921577011328,1.3284986681486068,90.87432160073303,86.03390354178667,0.0,1,20
183.58104848861694,9,30427,90.19979866874277,0.8506651777472202,91.11602566280416,88.54086731388654,0.0,1,20
218.76365447044373,10,32961,93.32191998086563,1.5908327541765508,96.20529500192079,91.3240250168989,0.0,1,20
256.2060649394989,11,35945,96.73189396206502,1.281186030099016,99.53950596194667,95.00784778733758,0.0,1,20
295.5452473163605,12,37708,101.86902499650891,1.1620006655243753,103.53271942990307,99.69612434021934,0.2888344506242567,1,20
336.78621006011963,13,39911,106.418165272889,1.335319886534084,108.43531828265515,104.62302246750347,0.04876936393574942,1,22
380.1244111061096,14,41990,111.60862533430024,1.1472362497695412,113.76376720242064,109.6952268196521,0.14548640715206096,1,22
425.5320875644684,15,44907,116.52519938308328,1.4026323826735583,119.17096518489333,114.52616917516201,0.138666640357971,1,24
473.2725486755371,16,48079,124.51092549745256,2.2413484723055115,127.17918566434749,120.6205357829529,0.19508408154306925,1,26
523.7738103866577,17,52282,131.05475218828263,1.6373412629390667,134.12612847617714,128.81375726464452,0.22449513876561628,1,28
577.8712239265442,18,58375,144.13937890229437,1.3270266487939737,146.5088307676961,142.7437941615863,0.35188902893182966,1,30
635.2880518436432,19,64128,156.8029461296628,1.77939939502567,160.81643470053712,155.10109065967342,0.10400024166738683,1,30
695.9253401756287,20,68827,171.81606418504825,1.4600413930681306,173.62198484193596,168.55134293329564,0.1720931282731242,1,32
760.4199185371399,21,76843,192.07567453326533,2.4805711707872438,196.38166224789566,187.75439418245853,0.36870473872028914,1,34
828.886075258255,22,83881,216.2548338467339,2.4172309993029684,218.72354250246332,211.76903078729916,0.2255888394977092,1,36
901.8192048072815,23,93105,246.75884307505447,4.280355008039043,252.18942394965822,240.00952332274875,0.4124150662319726,1,36
979.9521868228912,24,103707,286.89224829817306,3.9788057460865507,292.7369257514961,281.8167443310269,0.11600800726617261,1,38
1062.7484068870544,25,112940,340.26339832225415,4.790802037630216,345.9503520100644,332.7805338312448,0.4610281513051598,1,38
