time,iteration,total_steps,reward_mean,reward_std,reward_max,reward_min,alpha,sub_dims,pop_size
1.430511474609375e-06,0,0,-16.377564567535195,15.138525158320007,26.80688155818959,-24.878921853805036,1.0,1,80
4.4349400997161865,1,8000,25.189048786573892,5.148065183531614,34.307302073303326,19.791508552887475,1.0,1,80
12.799026012420654,2,16000,25.965396325787395,2.488357990982749,30.739124381815824,20.703291164043396,1.0,1,80
25.104455709457397,3,24000,25.689507297273718,2.25653975878401,29.459427180625607,21.848492384394312,1.0,1,80
41.35258412361145,4,32000,22.557151248588156,4.240204851878159,30.12054553495435,18.121270220881573,1.0,1,80
61.37019872665405,5,40000,24.96922782318729,3.3367446171910746,29.213333147473907,18.933385193046128,1.0,1,80
85.09458422660828,6,48000,25.958116532451527,2.8955766431425447,30.267352903059738,22.384653586091588,1.0,1,80
112.4617805480957,7,56000,25.44809861471942,1.6551222548705418,28.338819258668554,22.021752166996915,0.0,1,80
143.64907932281494,8,64000,26.27713008289541,1.6369090822502688,28.39908834996349,23.26715176388513,0.0,1,80
178.59851741790771,9,72000,25.171627037400917,1.8287167272160518,28.64658765431068,22.1447476018911,0.0,1,80
218.07335209846497,10,80000,25.876630042021596,1.3036463648227579,28.795433915020475,24.232970679479546,0.0,1,80
259.6375834941864,11,82000,26.09311389404072,1.5976599622488585,28.301910245317167,23.813903663234477,0.0,1,20
303.2587947845459,12,84000,24.904722553923072,1.8825665210252784,28.209462675455796,22.00458049420494,0.3661301793982979,1,20
348.9645812511444,13,86200,26.27452463579426,1.6225968384802902,28.781257183794935,24.07975942418612,0.32677506797833694,1,22
396.74699115753174,14,88400,25.97855988388765,1.1462013132133937,27.5664673905618,23.52398451058929,0.17999127066886927,1,22
446.75252509117126,15,90600,25.13731114169287,1.3109956608645192,26.593779744018004,22.75403742026099,0.37920560867044123,1,22
498.67281317710876,16,92800,25.031838462997758,1.3372506172289063,27.035340085955074,22.962522101671055,0.31747485283891946,1,22
552.7708387374878,17,95200,24.316475771763077,1.19227432779347,26.177804521019898,22.798150704608958,0.5368303431992236,1,24
608.9624440670013,18,97600,24.403684861997267,1.4396252286962148,27.024624978645562,22.897345575398585,0.6204295536781934,1,24
667.3407185077667,19,100200,24.44051372611044,1.2509590020887251,26.184912417025785,22.45225258686596,0.2894241321112509,1,26
728.2186546325684,20,102800,24.4093376516312,1.2617488931149967,26.13829993102975,22.328188444369225,0.20960965377038085,1,26
791.3819913864136,21,105400,24.849549857239925,1.2624447734796225,26.543456518080223,22.361323579946244,0.08622233989734462,1,26
856.8496539592743,22,108000,24.022745839069767,0.9777421876109306,25.856760999716517,22.41305338854821,0.42791673489360676,1,26
